country,year,carbon_intensity_elec,region
Africa,2000,621.1485595703125,Africa
Africa,2001,619.6974487304688,Africa
Africa,2002,617.1007080078125,Africa
Africa,2003,625.6505737304688,Africa
Africa,2004,623.8567504882812,Africa
Africa,2005,625.1448974609375,Africa
Africa,2006,627.5221557617188,Africa
Africa,2007,627.2061767578125,Africa
Africa,2008,621.9981079101562,Africa
Africa,2009,614.8291625976562,Africa
Africa,2010,611.5018920898438,Africa
Africa,2011,610.9513549804688,Africa
Africa,2012,609.5526733398438,Africa
Africa,2013,604.4458618164062,Africa
Africa,2014,598.4428100585938,Africa
Africa,2015,597.5343017578125,Africa
Africa,2016,594.8250122070312,Africa
Africa,2017,588.5758666992188,Africa
Africa,2018,583.9322509765625,Africa
Africa,2019,574.912109375,Africa
Africa,2020,564.6796264648438,Africa
North America,2000,555.9422607421875,America del Norte
North America,2001,560.4508666992188,America del Norte
North America,2002,552.526611328125,America del Norte
North America,2003,559.7901611328125,America del Norte
North America,2004,553.7843017578125,America del Norte
North America,2005,553.5105590820312,America del Norte
North America,2006,545.7693481445312,America del Norte
North America,2007,549.2225952148438,America del Norte
North America,2008,539.3796997070312,America del Norte
North America,2009,518.6909790039062,America del Norte
North America,2010,525.6824340820312,America del Norte
North America,2011,506.3933410644531,America del Norte
North America,2012,490.8045959472656,America del Norte
North America,2013,489.2972106933594,America del Norte
North America,2014,485.7470703125,America del Norte
North America,2015,465.7608337402344,America del Norte
North America,2016,448.3286743164063,America del Norte
North America,2017,434.6676940917969,America del Norte
North America,2018,430.5212707519531,America del Norte
North America,2019,412.9840698242188,America del Norte
North America,2020,385.6364135742188,America del Norte
South America,2000,161.7790985107422,America del Sur
South America,2001,170.58404541015625,America del Sur
South America,2002,164.2614288330078,America del Sur
South America,2003,163.88787841796875,America del Sur
South America,2004,176.0560760498047,America del Sur
South America,2005,171.28733825683594,America del Sur
South America,2006,170.79632568359375,America del Sur
South America,2007,180.09971618652344,America del Sur
South America,2008,194.4497528076172,America del Sur
South America,2009,184.44422912597656,America del Sur
South America,2010,204.53054809570312,America del Sur
South America,2011,193.3467254638672,America del Sur
South America,2012,221.86978149414065,America del Sur
South America,2013,247.6752471923828,America del Sur
South America,2014,259.8957214355469,America del Sur
South America,2015,260.9080505371094,America del Sur
South America,2016,244.0484313964844,America del Sur
South America,2017,229.96847534179688,America del Sur
South America,2018,218.28985595703125,America del Sur
South America,2019,217.6985015869141,America del Sur
South America,2020,204.62635803222656,America del Sur
Asia,2000,629.7767333984375,Asia
Asia,2001,631.1314086914062,Asia
Asia,2002,638.2015380859375,Asia
Asia,2003,657.2520141601562,Asia
Asia,2004,649.927734375,Asia
Asia,2005,657.2511596679688,Asia
Asia,2006,661.6329956054688,Asia
Asia,2007,672.3104248046875,Asia
Asia,2008,663.2716674804688,Asia
Asia,2009,668.2529907226562,Asia
Asia,2010,660.907470703125,Asia
Asia,2011,676.6390380859375,Asia
Asia,2012,673.77490234375,Asia
Asia,2013,673.196044921875,Asia
Asia,2014,664.5471801757812,Asia
Asia,2015,651.1422729492188,Asia
Asia,2016,642.6522827148438,Asia
Asia,2017,638.3338012695312,Asia
Asia,2018,634.5250854492188,Asia
Asia,2019,620.5512084960938,Asia
Asia,2020,609.9309692382812,Asia
Europe,2000,421.9648132324219,Europa
Europe,2001,416.4940490722656,Europa
Europe,2002,423.0690002441406,Europa
Europe,2003,430.4507141113281,Europa
Europe,2004,418.5669860839844,Europa
Europe,2005,416.3775329589844,Europa
Europe,2006,421.3365783691406,Europa
Europe,2007,422.2982482910156,Europa
Europe,2008,412.8258666992188,Europa
Europe,2009,397.9512939453125,Europa
Europe,2010,392.4154968261719,Europa
Europe,2011,398.6273193359375,Europa
Europe,2012,396.7960205078125,Europa
Europe,2013,383.7569580078125,Europa
Europe,2014,369.3055114746094,Europa
Europe,2015,365.9946899414063,Europa
Europe,2016,358.1376647949219,Europa
Europe,2017,352.9662780761719,Europa
Europe,2018,339.6885681152344,Europa
Europe,2019,319.4954833984375,Europa
Europe,2020,295.812255859375,Europa
Oceania,2000,705.2295532226562,Oceania
Oceania,2001,711.5242919921875,Oceania
Oceania,2002,697.8848876953125,Oceania
Oceania,2003,701.3785400390625,Oceania
Oceania,2004,695.5654296875,Oceania
Oceania,2005,701.879150390625,Oceania
Oceania,2006,701.5645751953125,Oceania
Oceania,2007,699.09375,Oceania
Oceania,2008,702.8433227539062,Oceania
Oceania,2009,692.5929565429688,Oceania
Oceania,2010,680.97314453125,Oceania
Oceania,2011,659.26904296875,Oceania
Oceania,2012,660.0946655273438,Oceania
Oceania,2013,641.2120361328125,Oceania
Oceania,2014,643.5223999023438,Oceania
Oceania,2015,639.7422485351562,Oceania
Oceania,2016,624.5770874023438,Oceania
Oceania,2017,630.4002075195312,Oceania
Oceania,2018,605.9168701171875,Oceania
Oceania,2019,592.5361328125,Oceania
Oceania,2020,570.80810546875,Oceania
